TimeStamp, Temperature
2013-05-23 11:41:48, 20
2013-05-23 11:41:49, 20
2013-05-23 11:41:50, 20
2013-05-23 11:41:52, 20
2013-05-23 11:41:53, 20
2013-05-23 11:41:54, 20
2013-05-23 11:41:55, 20
2013-05-23 11:41:56, 20
2013-05-23 11:41:57, 20
2013-05-23 11:41:58, 20
2013-05-23 11:41:59, 20
2013-05-23 11:42:00, 20
2013-05-23 11:42:01, 20
2013-05-23 11:42:02, 20
2013-05-23 11:42:03, 20
2013-05-23 11:42:04, 20
2013-05-23 11:42:05, 20
2013-05-23 11:42:06, 20
2013-05-23 11:42:07, 20
2013-05-23 11:42:08, 20
2013-05-23 11:42:09, 20
2013-05-23 11:42:10, 20
2013-05-23 11:42:11, 20
2013-05-23 11:42:12, 20
2013-05-23 11:42:13, 20
2013-05-23 11:42:14, 20
2013-05-23 11:42:15, 20
2013-05-23 11:42:16, 20
2013-05-23 11:42:17, 20
2013-05-23 11:42:18, 20
2013-05-23 11:42:19, 20
2013-05-23 11:42:20, 20
2013-05-23 11:42:21, 20
2013-05-23 11:42:22, 20
2013-05-23 11:42:23, 20
2013-05-23 11:42:24, 20
2013-05-23 11:42:25, 20
2013-05-23 11:42:26, 20
2013-05-23 11:42:27, 20
2013-05-23 11:42:28, 20
2013-05-23 11:42:29, 20
2013-05-23 11:42:30, 20
2013-05-23 11:42:31, 20
2013-05-23 11:42:32, 20
2013-05-23 11:42:33, 20
2013-05-23 11:42:34, 20
2013-05-23 11:42:35, 20
2013-05-23 11:42:36, 20
2013-05-23 11:42:37, 20
2013-05-23 11:42:38, 20
2013-05-23 11:42:39, 20
2013-05-23 11:42:40, 20
2013-05-23 11:42:41, 20
2013-05-23 11:42:42, 20
2013-05-23 11:42:43, 20
2013-05-23 11:42:44, 20
2013-05-23 11:42:45, 20
2013-05-23 11:42:46, 20
2013-05-23 11:42:47, 20
2013-05-23 11:42:48, 20
2013-05-23 11:42:49, 20
2013-05-23 11:42:50, 20
2013-05-23 11:42:51, 20
2013-05-23 11:42:52, 20
2013-05-23 11:42:53, 20
2013-05-23 11:42:54, 20
2013-05-23 11:42:55, 20
2013-05-23 11:42:56, 20
2013-05-23 11:42:57, 20
2013-05-23 11:42:58, 20
2013-05-23 11:42:59, 20
2013-05-23 11:43:00, 20
2013-05-23 11:43:01, 20
2013-05-23 11:43:02, 20
2013-05-23 11:43:03, 20
2013-05-23 11:43:04, 20
2013-05-23 11:43:05, 20
2013-05-23 11:43:06, 20
2013-05-23 11:43:07, 20
2013-05-23 11:43:08, 20
2013-05-23 11:43:09, 20
2013-05-23 11:43:10, 20
2013-05-23 11:43:11, 20
2013-05-23 11:43:12, 20
2013-05-23 11:43:13, 20
2013-05-23 11:43:14, 20
2013-05-23 11:43:15, 20
2013-05-23 11:43:16, 20
2013-05-23 11:43:17, 20
2013-05-23 11:43:18, 20
2013-05-23 11:43:19, 20
2013-05-23 11:43:20, 20
2013-05-23 11:43:21, 20
2013-05-23 11:43:22, 20
2013-05-23 11:43:23, 20
2013-05-23 11:43:24, 20
2013-05-23 11:43:25, 20
2013-05-23 11:43:26, 20
2013-05-23 11:43:27, 20
2013-05-23 11:43:28, 20
2013-05-23 11:43:29, 20
2013-05-23 11:43:30, 20
2013-05-23 11:43:31, 20
2013-05-23 11:43:32, 20
2013-05-23 11:43:33, 20
2013-05-23 11:43:34, 20
2013-05-23 11:43:35, 20
2013-05-23 11:43:36, 20
2013-05-23 11:43:37, 20
2013-05-23 11:43:38, 20
2013-05-23 11:43:39, 20
2013-05-23 11:43:40, 20
2013-05-23 11:43:41, 20
2013-05-23 11:43:42, 20
2013-05-23 11:43:43, 20
2013-05-23 11:43:44, 20
2013-05-23 11:43:45, 20
2013-05-23 11:43:46, 20
2013-05-23 11:43:47, 20
2013-05-23 11:43:48, 20
2013-05-23 11:43:49, 20
2013-05-23 11:43:50, 20
2013-05-23 11:43:51, 20
2013-05-23 11:43:52, 20
2013-05-23 11:43:53, 20
2013-05-23 11:43:54, 20
2013-05-23 11:43:55, 20
2013-05-23 11:43:56, 20
2013-05-23 11:43:57, 20
2013-05-23 11:43:58, 20
2013-05-23 11:43:59, 20
2013-05-23 11:44:00, 20
2013-05-23 11:44:01, 20
2013-05-23 11:44:02, 20
2013-05-23 11:44:03, 20
2013-05-23 11:44:04, 20
2013-05-23 11:44:05, 20
2013-05-23 11:44:06, 20
2013-05-23 11:44:07, 20
2013-05-23 11:44:08, 20
2013-05-23 11:44:09, 20
2013-05-23 11:44:10, 20
2013-05-23 11:44:11, 20
2013-05-23 11:44:12, 20
2013-05-23 11:44:14, 20
2013-05-23 11:44:15, 20
2013-05-23 11:44:16, 20
2013-05-23 11:44:17, 20
2013-05-23 11:44:18, 20
2013-05-23 11:44:19, 20
2013-05-23 11:44:20, 20
2013-05-23 11:44:21, 20
2013-05-23 11:44:22, 20
2013-05-23 11:44:23, 20
2013-05-23 11:44:24, 20
2013-05-23 11:44:25, 20
2013-05-23 11:44:26, 20
2013-05-23 11:44:27, 20
2013-05-23 11:44:28, 20
2013-05-23 11:44:29, 20
2013-05-23 11:44:30, 20
2013-05-23 11:44:31, 20
2013-05-23 11:44:32, 20
2013-05-23 11:44:33, 20
2013-05-23 11:44:34, 20
2013-05-23 11:44:35, 20
2013-05-23 11:44:36, 20
2013-05-23 11:44:37, 20
2013-05-23 11:44:38, 20
2013-05-23 11:44:39, 20
2013-05-23 11:44:40, 20
2013-05-23 11:44:41, 20
2013-05-23 11:44:42, 20
2013-05-23 11:44:43, 20
2013-05-23 11:44:44, 20
2013-05-23 11:44:45, 20
2013-05-23 11:44:46, 20
2013-05-23 11:44:47, 20
2013-05-23 11:44:48, 20
2013-05-23 11:44:49, 20
2013-05-23 11:44:50, 20
2013-05-23 11:44:51, 20
2013-05-23 11:44:52, 20
2013-05-23 11:44:53, 20
2013-05-23 11:44:54, 20
2013-05-23 11:44:55, 20
2013-05-23 11:44:56, 20
2013-05-23 11:44:57, 20
2013-05-23 11:44:58, 20
2013-05-23 11:44:59, 20
2013-05-23 11:45:00, 20
2013-05-23 11:45:01, 20
2013-05-23 11:45:02, 20
2013-05-23 11:45:03, 20
2013-05-23 11:45:04, 20
2013-05-23 11:45:05, 20
2013-05-23 11:45:06, 20
2013-05-23 11:45:07, 20
2013-05-23 11:45:08, 20
2013-05-23 11:45:09, 20
2013-05-23 11:45:10, 20
2013-05-23 11:45:11, 20
2013-05-23 11:45:12, 20
2013-05-23 11:45:13, 20
2013-05-23 11:45:14, 20
2013-05-23 11:45:15, 20
2013-05-23 11:45:16, 20
2013-05-23 11:45:17, 20
2013-05-23 11:45:18, 20
2013-05-23 11:45:19, 20
2013-05-23 11:45:20, 20
2013-05-23 11:45:21, 20
2013-05-23 11:45:22, 20
2013-05-23 11:45:23, 20
2013-05-23 11:45:24, 20
2013-05-23 11:45:25, 20
2013-05-23 11:45:26, 20
2013-05-23 11:45:27, 20
2013-05-23 11:45:28, 20
2013-05-23 11:45:29, 20
2013-05-23 11:45:30, 20
2013-05-23 11:45:31, 20
2013-05-23 11:45:32, 20
2013-05-23 11:45:33, 20
2013-05-23 11:45:34, 20
2013-05-23 11:45:35, 20
2013-05-23 11:45:36, 20
2013-05-23 11:45:37, 20
2013-05-23 11:45:38, 20
2013-05-23 11:45:39, 20
2013-05-23 11:45:40, 20
2013-05-23 11:45:41, 20
2013-05-23 11:45:42, 20
2013-05-23 11:45:43, 20
2013-05-23 11:45:44, 20
2013-05-23 11:45:45, 20
2013-05-23 11:45:46, 20
2013-05-23 11:45:47, 20
2013-05-23 11:45:48, 20
2013-05-23 11:45:49, 20
2013-05-23 11:45:50, 20
2013-05-23 11:45:51, 20
2013-05-23 11:45:52, 20
2013-05-23 11:45:53, 20
2013-05-23 11:45:54, 20
2013-05-23 11:45:55, 20
2013-05-23 11:45:56, 20
2013-05-23 11:45:57, 20
2013-05-23 11:45:58, 20
2013-05-23 11:45:59, 20
2013-05-23 11:46:00, 20
2013-05-23 11:46:01, 20
2013-05-23 11:46:02, 20
2013-05-23 11:46:03, 20
2013-05-23 11:46:04, 20
2013-05-23 11:46:05, 20
2013-05-23 11:46:06, 20
2013-05-23 11:46:07, 20
2013-05-23 11:46:08, 20
2013-05-23 11:46:09, 20
2013-05-23 11:46:10, 20
2013-05-23 11:46:11, 20
2013-05-23 11:46:12, 20
2013-05-23 11:46:13, 20
2013-05-23 11:46:14, 20
2013-05-23 11:46:15, 20
2013-05-23 11:46:16, 20
2013-05-23 11:46:17, 20
2013-05-23 11:46:18, 20
2013-05-23 11:46:19, 20
2013-05-23 11:46:20, 20
2013-05-23 11:46:21, 20
2013-05-23 11:46:22, 20
2013-05-23 11:46:23, 20
2013-05-23 11:46:24, 20
2013-05-23 11:46:25, 20
2013-05-23 11:46:26, 20
2013-05-23 11:46:27, 20
2013-05-23 11:46:28, 20
2013-05-23 11:46:29, 20
2013-05-23 11:46:30, 20
2013-05-23 11:46:31, 20
2013-05-23 11:46:33, 20
2013-05-23 11:46:34, 20
2013-05-23 11:46:35, 20
2013-05-23 11:46:36, 20
2013-05-23 11:46:37, 20
2013-05-23 11:46:38, 20
2013-05-23 11:46:39, 20
2013-05-23 11:46:40, 20
2013-05-23 11:46:41, 20
2013-05-23 11:46:42, 20
2013-05-23 11:46:43, 20
2013-05-23 11:46:44, 20
2013-05-23 11:46:45, 20
2013-05-23 11:46:46, 20
2013-05-23 11:46:47, 20
2013-05-23 11:46:48, 20
2013-05-23 11:46:49, 20
2013-05-23 11:46:50, 20
2013-05-23 11:46:51, 20
2013-05-23 11:46:52, 20
2013-05-23 11:46:53, 20
2013-05-23 11:46:54, 20
2013-05-23 11:46:55, 20
2013-05-23 11:46:56, 20
2013-05-23 11:46:57, 20
2013-05-23 11:46:58, 20
2013-05-23 11:46:59, 20
2013-05-23 11:47:00, 20
2013-05-23 11:47:01, 20
2013-05-23 11:47:02, 20
2013-05-23 11:47:03, 20
2013-05-23 11:47:04, 20
2013-05-23 11:47:05, 20
2013-05-23 11:47:06, 20
2013-05-23 11:47:07, 20
2013-05-23 11:47:08, 20
2013-05-23 11:47:09, 20
2013-05-23 11:47:10, 20
2013-05-23 11:47:11, 20
2013-05-23 11:47:12, 20
2013-05-23 11:47:13, 20
2013-05-23 11:47:14, 20
2013-05-23 11:47:15, 20
2013-05-23 11:47:16, 20
2013-05-23 11:47:17, 20
2013-05-23 11:47:18, 20
2013-05-23 11:47:19, 20
2013-05-23 11:47:20, 20
2013-05-23 11:47:21, 20
2013-05-23 11:47:22, 20
2013-05-23 11:47:23, 20
2013-05-23 11:47:24, 20
2013-05-23 11:47:25, 20
2013-05-23 11:47:26, 20
2013-05-23 11:47:27, 20
2013-05-23 11:47:28, 20
2013-05-23 11:47:29, 20
2013-05-23 11:47:30, 20
2013-05-23 11:47:31, 20
2013-05-23 11:47:32, 20
2013-05-23 11:47:33, 20
2013-05-23 11:47:34, 20
2013-05-23 11:47:35, 20
2013-05-23 11:47:36, 20
2013-05-23 11:47:37, 20
2013-05-23 11:47:38, 20
2013-05-23 11:47:39, 20
2013-05-23 11:47:40, 20
2013-05-23 11:47:41, 20
2013-05-23 11:47:42, 20
2013-05-23 11:47:43, 20
2013-05-23 11:47:44, 20
2013-05-23 11:47:45, 20
2013-05-23 11:47:46, 20
2013-05-23 11:47:47, 20
2013-05-23 11:47:48, 20
2013-05-23 11:47:49, 20
2013-05-23 11:47:50, 20
2013-05-23 11:47:51, 20
2013-05-23 11:47:52, 20
2013-05-23 11:47:53, 20
2013-05-23 11:47:54, 20
2013-05-23 11:47:55, 20
2013-05-23 11:47:56, 20
2013-05-23 11:47:57, 20
2013-05-23 11:47:58, 20
2013-05-23 11:47:59, 20
2013-05-23 11:48:00, 20
2013-05-23 11:48:01, 20
2013-05-23 11:48:02, 20
2013-05-23 11:48:03, 20
2013-05-23 11:48:04, 20
2013-05-23 11:48:05, 20
2013-05-23 11:48:06, 20
2013-05-23 11:48:07, 20
2013-05-23 11:48:08, 20
2013-05-23 11:48:09, 20
2013-05-23 11:48:10, 20
2013-05-23 11:48:11, 20
2013-05-23 11:48:12, 20
2013-05-23 11:48:13, 20
2013-05-23 11:48:14, 20
2013-05-23 11:48:15, 20
2013-05-23 11:48:16, 20
2013-05-23 11:48:17, 20
2013-05-23 11:48:18, 20
2013-05-23 11:48:19, 20
2013-05-23 11:48:20, 20
2013-05-23 11:48:21, 20
2013-05-23 11:48:22, 20
2013-05-23 11:48:23, 20
2013-05-23 11:48:24, 20
2013-05-23 11:48:25, 20
2013-05-23 11:48:26, 20
2013-05-23 11:48:27, 20
2013-05-23 11:48:28, 20
2013-05-23 11:48:29, 20
2013-05-23 11:48:30, 20
2013-05-23 11:48:31, 20
2013-05-23 11:48:32, 20
2013-05-23 11:48:33, 20
2013-05-23 11:48:34, 20
2013-05-23 11:48:35, 20
2013-05-23 11:48:36, 20
2013-05-23 11:48:37, 20
2013-05-23 11:48:38, 20
2013-05-23 11:48:39, 20
2013-05-23 11:48:40, 20
2013-05-23 11:48:41, 20
2013-05-23 11:48:42, 20
2013-05-23 11:48:43, 20
2013-05-23 11:48:44, 20
2013-05-23 11:48:45, 20
2013-05-23 11:48:46, 20
2013-05-23 11:48:47, 20
2013-05-23 11:48:48, 20
2013-05-23 11:48:49, 20
2013-05-23 11:48:50, 20
2013-05-23 11:48:51, 20
2013-05-23 11:48:52, 20
2013-05-23 11:48:53, 20
2013-05-23 11:48:55, 20
2013-05-23 11:48:56, 20
2013-05-23 11:48:57, 20
2013-05-23 11:48:58, 20
2013-05-23 11:48:59, 20
2013-05-23 11:49:00, 20
2013-05-23 11:49:01, 20
2013-05-23 11:49:02, 20
2013-05-23 11:49:03, 20
2013-05-23 11:49:04, 20
2013-05-23 11:49:05, 20
2013-05-23 11:49:06, 20
2013-05-23 11:49:07, 20
2013-05-23 11:49:08, 20
2013-05-23 11:49:09, 20
2013-05-23 11:49:10, 20
2013-05-23 11:49:11, 20
2013-05-23 11:49:12, 20
2013-05-23 11:49:13, 20
2013-05-23 11:49:14, 20
2013-05-23 11:49:15, 20
2013-05-23 11:49:16, 20
2013-05-23 11:49:17, 20
2013-05-23 11:49:18, 20
2013-05-23 11:49:19, 20
2013-05-23 11:49:20, 20
2013-05-23 11:49:21, 20
2013-05-23 11:49:22, 20
2013-05-23 11:49:23, 20
2013-05-23 11:49:24, 20
2013-05-23 11:49:25, 20
2013-05-23 11:49:26, 20
2013-05-23 11:49:27, 20
2013-05-23 11:49:28, 20
2013-05-23 11:49:29, 20
2013-05-23 11:49:30, 20
2013-05-23 11:49:31, 20
2013-05-23 11:49:32, 20
2013-05-23 11:49:33, 20
2013-05-23 11:49:34, 20
2013-05-23 11:49:35, 20
2013-05-23 11:49:36, 20
2013-05-23 11:49:37, 20
2013-05-23 11:49:38, 20
2013-05-23 11:49:39, 20
2013-05-23 11:49:40, 20
2013-05-23 11:49:41, 20
2013-05-23 11:49:42, 20
2013-05-23 11:49:43, 20
2013-05-23 11:49:44, 20
2013-05-23 11:49:45, 20
2013-05-23 11:49:46, 20
2013-05-23 11:49:47, 20
2013-05-23 11:49:48, 20
2013-05-23 11:49:49, 20
2013-05-23 11:49:50, 20
2013-05-23 11:49:51, 20
2013-05-23 11:49:52, 20
2013-05-23 11:49:53, 20
2013-05-23 11:49:54, 20
2013-05-23 11:49:55, 20
2013-05-23 11:49:56, 20
2013-05-23 11:49:57, 20
2013-05-23 11:49:58, 20
2013-05-23 11:49:59, 20
2013-05-23 11:50:00, 20
2013-05-23 11:50:01, 20
2013-05-23 11:50:02, 20
2013-05-23 11:50:03, 20
2013-05-23 11:50:04, 20
2013-05-23 11:50:05, 20
2013-05-23 11:50:06, 20
2013-05-23 11:50:07, 20
2013-05-23 11:50:08, 20
2013-05-23 11:50:09, 20
2013-05-23 11:50:10, 20
2013-05-23 11:50:11, 20
2013-05-23 11:50:12, 20
2013-05-23 11:50:13, 20
2013-05-23 11:50:14, 20
2013-05-23 11:50:15, 20
2013-05-23 11:50:16, 20
2013-05-23 11:50:17, 20
2013-05-23 11:50:18, 20
2013-05-23 11:50:19, 20
2013-05-23 11:50:20, 20
2013-05-23 11:50:21, 20
2013-05-23 11:50:22, 20
2013-05-23 11:50:23, 20
2013-05-23 11:50:24, 20
2013-05-23 11:50:25, 20
2013-05-23 11:50:26, 20
2013-05-23 11:50:27, 20
2013-05-23 11:50:28, 20
2013-05-23 11:50:29, 20
2013-05-23 11:50:30, 20
2013-05-23 11:50:31, 20
2013-05-23 11:50:32, 20
2013-05-23 11:50:33, 20
2013-05-23 11:50:34, 20
2013-05-23 11:50:35, 20
2013-05-23 11:50:36, 20
2013-05-23 11:50:37, 20
2013-05-23 11:50:38, 20
2013-05-23 11:50:39, 20
2013-05-23 11:50:40, 20
2013-05-23 11:50:41, 20
2013-05-23 11:50:42, 20
2013-05-23 11:50:43, 20
2013-05-23 11:50:44, 20
2013-05-23 11:50:45, 20
2013-05-23 11:50:46, 20
2013-05-23 11:50:47, 20
2013-05-23 11:50:48, 20
2013-05-23 11:50:49, 20
2013-05-23 11:50:50, 20
2013-05-23 11:50:51, 20
2013-05-23 11:50:52, 20
2013-05-23 11:50:53, 20
2013-05-23 11:50:54, 20
2013-05-23 11:50:55, 20
2013-05-23 11:50:56, 20
2013-05-23 11:50:57, 20
2013-05-23 11:50:58, 20
2013-05-23 11:50:59, 20
2013-05-23 11:51:00, 20
2013-05-23 11:51:01, 20
2013-05-23 11:51:02, 20
2013-05-23 11:51:03, 20
2013-05-23 11:51:04, 20
2013-05-23 11:51:05, 20
2013-05-23 11:51:06, 20
2013-05-23 11:51:07, 20
2013-05-23 11:51:08, 20
2013-05-23 11:51:09, 20
2013-05-23 11:51:10, 20
2013-05-23 11:51:11, 20
2013-05-23 11:51:12, 20
2013-05-23 11:51:13, 20
2013-05-23 11:51:14, 20
2013-05-23 11:51:15, 20
2013-05-23 11:51:17, 20
2013-05-23 11:51:18, 20
2013-05-23 11:51:19, 20
2013-05-23 11:51:20, 20
2013-05-23 11:51:21, 20
2013-05-23 11:51:22, 20
2013-05-23 11:51:23, 20
2013-05-23 11:51:24, 20
2013-05-23 11:51:25, 20
2013-05-23 11:51:26, 20
2013-05-23 11:51:27, 20
2013-05-23 11:51:28, 20
2013-05-23 11:51:29, 20
2013-05-23 11:51:30, 20
2013-05-23 11:51:31, 20
2013-05-23 11:51:32, 20
2013-05-23 11:51:33, 20
2013-05-23 11:51:34, 20
2013-05-23 11:51:35, 20
2013-05-23 11:51:36, 20
2013-05-23 11:51:37, 20
2013-05-23 11:51:38, 20
2013-05-23 11:51:39, 20
2013-05-23 11:51:40, 20
2013-05-23 11:51:41, 20
2013-05-23 11:51:42, 20
2013-05-23 11:51:43, 20
2013-05-23 11:51:44, 20
2013-05-23 11:51:45, 20
2013-05-23 11:51:46, 20
2013-05-23 11:51:47, 20
2013-05-23 11:51:48, 20
2013-05-23 11:51:49, 20
2013-05-23 11:51:50, 20
2013-05-23 11:51:51, 20
2013-05-23 11:51:52, 20
2013-05-23 11:51:53, 20
2013-05-23 11:51:54, 20
2013-05-23 11:51:55, 20
2013-05-23 11:51:56, 20
2013-05-23 11:51:57, 20
2013-05-23 11:51:58, 20
2013-05-23 11:51:59, 20
2013-05-23 11:52:00, 20
2013-05-23 11:52:01, 20
2013-05-23 11:52:02, 20
2013-05-23 11:52:03, 20
2013-05-23 11:52:04, 20
2013-05-23 11:52:05, 20
2013-05-23 11:52:06, 20
2013-05-23 11:52:07, 20
2013-05-23 11:52:08, 20
2013-05-23 11:52:09, 20
2013-05-23 11:52:10, 20
2013-05-23 11:52:11, 20
2013-05-23 11:52:12, 20
2013-05-23 11:52:13, 20
2013-05-23 11:52:14, 20
2013-05-23 11:52:15, 20
2013-05-23 11:52:16, 20
2013-05-23 11:52:17, 20
2013-05-23 11:52:18, 20
2013-05-23 11:52:19, 20
2013-05-23 11:52:20, 20
2013-05-23 11:52:21, 20
2013-05-23 11:52:22, 20
2013-05-23 11:52:23, 20
2013-05-23 11:52:24, 20
2013-05-23 11:52:25, 20
2013-05-23 11:52:26, 20
2013-05-23 11:52:27, 20
2013-05-23 11:52:28, 20
2013-05-23 11:52:29, 20
2013-05-23 11:52:30, 20
2013-05-23 11:52:31, 20
2013-05-23 11:52:32, 20
2013-05-23 11:52:33, 20
2013-05-23 11:52:34, 20
2013-05-23 11:52:35, 20
2013-05-23 11:52:36, 20
2013-05-23 11:52:37, 20
2013-05-23 11:52:38, 20
2013-05-23 11:52:39, 20
2013-05-23 11:52:40, 20
2013-05-23 11:52:41, 20
2013-05-23 11:52:42, 20
2013-05-23 11:52:43, 20
2013-05-23 11:52:44, 20
2013-05-23 11:52:45, 20
2013-05-23 11:52:46, 20
2013-05-23 11:52:47, 20
2013-05-23 11:52:48, 20
2013-05-23 11:52:49, 20
2013-05-23 11:52:50, 20
2013-05-23 11:52:51, 20
2013-05-23 11:52:52, 20
2013-05-23 11:52:53, 20
2013-05-23 11:52:54, 20
2013-05-23 11:52:55, 20
2013-05-23 11:52:56, 20
2013-05-23 11:52:57, 20
2013-05-23 11:52:58, 20
2013-05-23 11:52:59, 20
2013-05-23 11:53:00, 20
2013-05-23 11:53:01, 20
2013-05-23 11:53:02, 20
2013-05-23 11:53:03, 20
2013-05-23 11:53:04, 20
2013-05-23 11:53:05, 20
2013-05-23 11:53:06, 20
2013-05-23 11:53:07, 20
2013-05-23 11:53:08, 20
2013-05-23 11:53:09, 20
2013-05-23 11:53:10, 20
2013-05-23 11:53:11, 20
2013-05-23 11:53:12, 20
2013-05-23 11:53:13, 20
2013-05-23 11:53:14, 20
2013-05-23 11:53:15, 20
2013-05-23 11:53:16, 20
2013-05-23 11:53:17, 20
2013-05-23 11:53:18, 20
2013-05-23 11:53:19, 20
2013-05-23 11:53:20, 20
2013-05-23 11:53:21, 20
2013-05-23 11:53:22, 20
2013-05-23 11:53:23, 20
2013-05-23 11:53:24, 20
2013-05-23 11:53:25, 20
2013-05-23 11:53:26, 20
2013-05-23 11:53:27, 20
2013-05-23 11:53:28, 20
2013-05-23 11:53:29, 20
2013-05-23 11:53:30, 20
2013-05-23 11:53:31, 20
2013-05-23 11:53:32, 20
2013-05-23 11:53:33, 20
2013-05-23 11:53:34, 20
2013-05-23 11:53:35, 20
2013-05-23 11:53:36, 20
2013-05-23 11:53:38, 20
2013-05-23 11:53:39, 20
2013-05-23 11:53:40, 20
2013-05-23 11:53:41, 20
2013-05-23 11:53:42, 20
2013-05-23 11:53:43, 20
2013-05-23 11:53:44, 20
2013-05-23 11:53:45, 20
2013-05-23 11:53:46, 20
2013-05-23 11:53:47, 20
2013-05-23 11:53:48, 20
2013-05-23 11:53:49, 20
2013-05-23 11:53:50, 20
2013-05-23 11:53:51, 20
2013-05-23 11:53:52, 20
2013-05-23 11:53:53, 20
2013-05-23 11:53:54, 20
2013-05-23 11:53:55, 20
2013-05-23 11:53:56, 20
2013-05-23 11:53:57, 20
2013-05-23 11:53:58, 20
2013-05-23 11:53:59, 20
2013-05-23 11:54:00, 20
2013-05-23 11:54:01, 20
2013-05-23 11:54:02, 20
2013-05-23 11:54:03, 20
2013-05-23 11:54:04, 20
2013-05-23 11:54:05, 20
2013-05-23 11:54:06, 20
2013-05-23 11:54:07, 20
2013-05-23 11:54:08, 20
2013-05-23 11:54:09, 20
2013-05-23 11:54:10, 20
2013-05-23 11:54:11, 20
2013-05-23 11:54:12, 20
2013-05-23 11:54:13, 20
2013-05-23 11:54:14, 20
2013-05-23 11:54:15, 20
2013-05-23 11:54:16, 20
2013-05-23 11:54:17, 20
2013-05-23 11:54:18, 20
2013-05-23 11:54:19, 20
2013-05-23 11:54:20, 20
2013-05-23 11:54:21, 20
2013-05-23 11:54:22, 20
2013-05-23 11:54:23, 20
2013-05-23 11:54:24, 20
2013-05-23 11:54:25, 20
2013-05-23 11:54:26, 20
2013-05-23 11:54:27, 20
2013-05-23 11:54:28, 20
2013-05-23 11:54:29, 20
2013-05-23 11:54:30, 20
2013-05-23 11:54:31, 20
2013-05-23 11:54:32, 20
2013-05-23 11:54:33, 20
2013-05-23 11:54:34, 20
2013-05-23 11:54:35, 20
2013-05-23 11:54:36, 20
2013-05-23 11:54:37, 20
2013-05-23 11:54:38, 20
2013-05-23 11:54:39, 20
2013-05-23 11:54:40, 20
2013-05-23 11:54:41, 20
2013-05-23 11:54:42, 20
2013-05-23 11:54:43, 20
2013-05-23 11:54:44, 20
2013-05-23 11:54:45, 20
2013-05-23 11:54:46, 20
2013-05-23 11:54:47, 20
2013-05-23 11:54:48, 20
2013-05-23 11:54:49, 20
2013-05-23 11:54:50, 20
2013-05-23 11:54:51, 20
2013-05-23 11:54:52, 20
2013-05-23 11:54:53, 20
2013-05-23 11:54:54, 20
2013-05-23 11:54:55, 20
2013-05-23 11:54:56, 20
2013-05-23 11:54:57, 20
2013-05-23 11:54:58, 20
2013-05-23 11:54:59, 20
2013-05-23 11:55:00, 20
2013-05-23 11:55:01, 20
2013-05-23 11:55:02, 20
2013-05-23 11:55:03, 20
2013-05-23 11:55:04, 20
2013-05-23 11:55:05, 20
2013-05-23 11:55:06, 20
2013-05-23 11:55:07, 20
2013-05-23 11:55:08, 20
2013-05-23 11:55:09, 20
2013-05-23 11:55:10, 20
2013-05-23 11:55:11, 20
2013-05-23 11:55:12, 20
2013-05-23 11:55:13, 20
2013-05-23 11:55:14, 20
2013-05-23 11:55:15, 20
2013-05-23 11:55:16, 20
2013-05-23 11:55:17, 20
2013-05-23 11:55:18, 20
2013-05-23 11:55:19, 20
2013-05-23 11:55:20, 20
2013-05-23 11:55:21, 20
2013-05-23 11:55:22, 20
2013-05-23 11:55:23, 20
2013-05-23 11:55:24, 20
2013-05-23 11:55:25, 20
2013-05-23 11:55:26, 20
2013-05-23 11:55:27, 20
2013-05-23 11:55:28, 20
2013-05-23 11:55:29, 20
2013-05-23 11:55:30, 20
2013-05-23 11:55:31, 20
2013-05-23 11:55:32, 20
2013-05-23 11:55:33, 20
2013-05-23 11:55:34, 20
2013-05-23 11:55:35, 20
2013-05-23 11:55:36, 20
2013-05-23 11:55:37, 20
2013-05-23 11:55:38, 20
2013-05-23 11:55:39, 20
2013-05-23 11:55:40, 20
2013-05-23 11:55:41, 20
2013-05-23 11:55:42, 20
2013-05-23 11:55:43, 20
2013-05-23 11:55:44, 20
2013-05-23 11:55:45, 20
2013-05-23 11:55:46, 20
2013-05-23 11:55:47, 20
2013-05-23 11:55:48, 20
2013-05-23 11:55:49, 20
2013-05-23 11:55:50, 20
2013-05-23 11:55:51, 20
2013-05-23 11:55:52, 20
2013-05-23 11:55:53, 20
2013-05-23 11:55:54, 20
2013-05-23 11:55:55, 20
2013-05-23 11:55:56, 20
2013-05-23 11:55:58, 20
2013-05-23 11:55:59, 20
2013-05-23 11:56:00, 20
2013-05-23 11:56:01, 20
2013-05-23 11:56:02, 20
2013-05-23 11:56:03, 20
2013-05-23 11:56:04, 20
2013-05-23 11:56:05, 20
2013-05-23 11:56:06, 20
2013-05-23 11:56:07, 20
2013-05-23 11:56:08, 20
2013-05-23 11:56:09, 20
2013-05-23 11:56:10, 20
2013-05-23 11:56:11, 20
2013-05-23 11:56:12, 20
2013-05-23 11:56:13, 20
2013-05-23 11:56:14, 20
2013-05-23 11:56:15, 20
2013-05-23 11:56:16, 20
2013-05-23 11:56:17, 20
2013-05-23 11:56:18, 20
2013-05-23 11:56:19, 20
2013-05-23 11:56:20, 20
2013-05-23 11:56:21, 20
2013-05-23 11:56:22, 20
2013-05-23 11:56:23, 20
2013-05-23 11:56:24, 20
2013-05-23 11:56:25, 20
2013-05-23 11:56:26, 20
2013-05-23 11:56:27, 20
2013-05-23 11:56:28, 20
